stock_id,Ticker SYMBOL,公司名稱,產業類別
1101,1101.TW,臺灣水泥股份有限公司,1
1102,1102.TW,亞洲水泥股份有限公司,1
1103,1103.TW,嘉新水泥股份有限公司,1
1104,1104.TW,環球水泥股份有限公司,1
1108,1108.TW,幸福水泥股份有限公司,1
1109,1109.TW,信大水泥股份有限公司,1
1110,1110.TW,東南水泥股份有限公司,1
1201,1201.TW,味全食品工業股份有限公司,2
1203,1203.TW,味王股份有限公司,2
1210,1210.TW,大成長城企業股份有限公司,2
1213,1213.TW,大西洋飲料股份有限公司,2
1215,1215.TW,台灣卜蜂企業股份有限公司,2
1216,1216.TW,統一企業股份有限公司,2
1217,1217.TW,愛之味股份有限公司,2
1218,1218.TW,泰山企業股份有限公司,2
1219,1219.TW,福壽實業股份有限公司,2
1220,1220.TW,台榮產業股份有限公司,2
1225,1225.TW,福懋油脂股份有限公司,2
1227,1227.TW,佳格食品股份有限公司,2
1229,1229.TW,聯華實業控股股份有限公司,2
1231,1231.TW,聯華食品工業股份有限公司,2
1232,1232.TW,大統益股份有限公司,2
1233,1233.TW,天仁茶業股份有限公司,2
1234,1234.TW,黑松股份有限公司,2
1235,1235.TW,興泰實業股份有限公司,2
1236,1236.TW,宏亞食品股份有限公司,2
1256,1256.TW,鮮活控股股份有限公司,2
1301,1301.TW,台灣塑膠工業股份有限公司,3
1303,1303.TW,南亞塑膠工業股份有限公司,3
1304,1304.TW,台灣聚合化學品股份有限公司,3
1305,1305.TW,華夏海灣塑膠股份有限公司,3
1307,1307.TW,三芳化學工業股份有限公司,3
1308,1308.TW,亞洲聚合股份有限公司,3
1309,1309.TW,台達化學工業股份有限公司,3
1310,1310.TW,台灣苯乙烯工業股份有限公司,3
1312,1312.TW,國喬石油化學股份有限公司,3
1313,1313.TW,聯成化學科技股份有限公司,3
1314,1314.TW,中國石油化學工業開發(股)公司,3
1315,1315.TW,達新工業股份有限公司,3
1316,1316.TW,上曜建設開發股份有限公司,14
1319,1319.TW,東陽實業廠股份有限公司,12
1321,1321.TW,大洋塑膠工業股份有限公司,3
1323,1323.TW,永裕塑膠工業股份有限公司,3
1324,1324.TW,地球綜合工業股份有限公司,3
1325,1325.TW,恒大股份有限公司,3
1326,1326.TW,台灣化學纖維股份有限公司,3
1337,1337.TW,亞洲塑膠再生資源控股有限公司,3
1338,1338.TW,廣華控股有限公司,12
1339,1339.TW,昭輝實業股份有限公司,12
1340,1340.TW,勝悅新材料有限公司,3
1341,1341.TW,富林塑膠工業(開曼)控股(股)公司,3
1342,1342.TW,八貫企業股份有限公司,20
1402,1402.TW,遠東新世紀股份有限公司,4
1409,1409.TW,新光合成纖維股份有限公司,4
1410,1410.TW,南洋染整股份有限公司,4
1413,1413.TW,宏洲纖維工業股份有限公司,4
1414,1414.TW,東和紡織股份有限公司,4
1416,1416.TW,廣豐實業股份有限公司,20
1417,1417.TW,嘉裕股份有限公司,4
1418,1418.TW,東華龍股份有限公司,4
1419,1419.TW,新光紡織股份有限公司,4
1423,1423.TW,利華羊毛工業股份有限公司,4
1432,1432.TW,大魯閣實業股份有限公司,37
1434,1434.TW,福懋興業股份有限公司,4
1435,1435.TW,中福國際(股)公司,20
1436,1436.TW,華友聯開發股份有限公司,14
1437,1437.TW,勤益投資控股股份有限公司,20
1438,1438.TW,三地開發地產股份有限公司,14
1439,1439.TW,雋揚國際股份有限公司,14
1440,1440.TW,臺南紡織股份有限公司,4
1441,1441.TW,大東紡織股份有限公司,4
1442,1442.TW,名軒開發股份有限公司,14
1443,1443.TW,立益物流開發股份有限公司,20
1444,1444.TW,力麗企業股份有限公司,4
1445,1445.TW,大宇紡織股份有限公司,4
1446,1446.TW,宏和精密紡織股份有限公司,4
1447,1447.TW,力鵬企業股份有限公司,4
1449,1449.TW,佳和實業股份有限公司,4
1451,1451.TW,年興紡織股份有限公司,4
1452,1452.TW,宏益纖維工業股份有限公司,4
1453,1453.TW,大將開發股份有限公司,14
1454,1454.TW,台灣富綢纖維股份有限公司,4
1455,1455.TW,集盛實業股份有限公司,4
1456,1456.TW,怡華實業股份有限公司,14
1457,1457.TW,宜進實業股份有限公司,4
1459,1459.TW,聯發紡織纖維股份有限公司,4
1460,1460.TW,宏遠興業股份有限公司,4
1463,1463.TW,強盛新投資控股股份有限公司,4
1464,1464.TW,得力實業股份有限公司,4
1465,1465.TW,偉全實業股份有限公司,4
1466,1466.TW,聚隆纖維股份有限公司,4
1467,1467.TW,南緯實業股份有限公司,4
1468,1468.TW,昶和纖維興業股份有限公司,4
1470,1470.TW,大統新創股份有限公司,4
1471,1471.TW,首利實業股份有限公司,28
1472,1472.TW,三洋實業股份有限公司,14
1473,1473.TW,台南企業股份有限公司,4
1474,1474.TW,弘裕企業股份有限公司,4
1475,1475.TW,台灣業旺股份有限公司,4
1476,1476.TW,儒鴻企業股份有限公司,4
1477,1477.TW,聚陽實業股份有限公司,4
1503,1503.TW,士林電機廠股份有限公司,5
1504,1504.TW,東元電機股份有限公司,5
1506,1506.TW,正道工業股份有限公司,5
1512,1512.TW,瑞利企業股份有限公司,12
1513,1513.TW,中興電工機械股份有限公司,5
1514,1514.TW,亞力電機股份有限公司,5
1515,1515.TW,力山工業股份有限公司,5
1516,1516.TW,川飛能源股份有限公司,20
1517,1517.TW,利奇機械工業股份有限公司,5
1519,1519.TW,華城電機股份有限公司,5
1521,1521.TW,大億交通工業製造股份有限公司,12
1522,1522.TW,堤維西交通工業股份有限公司,12
1524,1524.TW,耿鼎企業股份有限公司,12
1525,1525.TW,江申工業股份有限公司,12
1526,1526.TW,日馳企業股份有限公司,5
1527,1527.TW,鑽全實業股份有限公司,5
1528,1528.TW,恩德科技股份有限公司,5
1529,1529.TW,樂事綠能科技股份有限公司,5
1530,1530.TW,亞崴機電股份有限公司,5
1531,1531.TW,高林股份有限公司,5
1532,1532.TW,勤美股份有限公司,5
1533,1533.TW,車王電子股份有限公司,12
1535,1535.TW,中宇環保工程股份有限公司,5
1536,1536.TW,和大工業股份有限公司,12
1537,1537.TW,廣隆光電科技股份有限公司,5
1538,1538.TW,正峰工業股份有限公司,5
1539,1539.TW,巨庭機械股份有限公司,5
1540,1540.TW,喬福機械工業股份有限公司,5
1541,1541.TW,錩泰工業股份有限公司,5
1558,1558.TW,伸興工業股份有限公司,5
1560,1560.TW,中國砂輪企業股份有限公司,5
1563,1563.TW,巧新科技工業股份有限公司,12
1568,1568.TW,倉佑實業股份有限公司,12
1582,1582.TW,信錦企業股份有限公司,28
1583,1583.TW,程泰機械股份有限公司,5
1587,1587.TW,吉茂精密股份有限公司,12
1589,1589.TW,永冠能源科技集團有限公司,5
1590,1590.TW,亞德客國際集團,5
1597,1597.TW,直得科技股份有限公司,5
1598,1598.TW,岱宇國際股份有限公司,37
1603,1603.TW,中華電線電纜股份有限公司,6
1604,1604.TW,聲寶股份有限公司,6
1605,1605.TW,華新麗華股份有限公司,6
1608,1608.TW,華榮電線電纜股份有限公司,6
1609,1609.TW,大亞電線電纜股份有限公司,6
1611,1611.TW,中國電器股份有限公司,6
1612,1612.TW,宏泰電工股份有限公司,6
1614,1614.TW,台灣三洋電機股份有限公司,6
1615,1615.TW,大山電線電纜股份有限公司,6
1616,1616.TW,億泰電線電纜股份有限公司,6
1617,1617.TW,榮星電線工業股份有限公司,6
1618,1618.TW,合機電線電纜股份有限公司,6
1623,1623.TW,大東電業廠股份有限公司,6
1626,1626.TW,艾美特(開曼)國際有限公司,6
1702,1702.TW,南僑投資控股股份有限公司,2
1707,1707.TW,葡萄王生技股份有限公司,22
1708,1708.TW,東南實業股份有限公司,21
1709,1709.TW,和益化學工業股份有限公司,21
1710,1710.TW,東聯化學股份有限公司,21
1711,1711.TW,臺灣永光化學工業股份有限公司,21
1712,1712.TW,興農股份有限公司,21
1713,1713.TW,國泰化工廠股份有限公司,21
1714,1714.TW,和桐化學股份有限公司,21
1717,1717.TW,長興材料工業股份有限公司,21
1718,1718.TW,中國人造纖維股份有限公司,21
1720,1720.TW,生達化學製藥股份有限公司,22
1721,1721.TW,三晃股份有限公司,21
1722,1722.TW,台灣肥料股份有限公司,21
1723,1723.TW,中鋼碳素化學股份有限公司,21
1725,1725.TW,元禎企業股份有限公司,21
1726,1726.TW,永記造漆工業股份有限公司,21
1727,1727.TW,臺灣中華化學工業股份有限公司,21
1730,1730.TW,花仙子企業股份有限公司,21
1731,1731.TW,美吾華股份有限公司,22
1732,1732.TW,毛寶股份有限公司,21
1733,1733.TW,五鼎生物技術股份有限公司,22
1734,1734.TW,杏輝藥品工業股份有限公司,22
1735,1735.TW,日勝化工股份有限公司,21
1736,1736.TW,喬山健康科技股份有限公司,37
1737,1737.TW,臺鹽實業股份有限公司,2
1752,1752.TW,南光化學製藥股份有限公司,22
1760,1760.TW,寶齡富錦生技股份有限公司,22
1762,1762.TW,中化合成生技股份有限公司,22
1773,1773.TW,勝一化工股份有限公司,21
1776,1776.TW,展宇科技材料股份有限公司,21
1783,1783.TW,和康生物科技股份有限公司,22
1786,1786.TW,科妍生物科技股份有限公司,22
1789,1789.TW,台灣神隆股份有限公司,22
1795,1795.TW,美時化學製藥股份有限公司,22
1802,1802.TW,台灣玻璃工業股份有限公司,8
1805,1805.TW,寶徠建設股份有限公司,14
1806,1806.TW,冠軍建材股份有限公司,8
1808,1808.TW,潤隆建設股份有限公司,14
1809,1809.TW,中國製釉股份有限公司,8
1810,1810.TW,和成欣業股份有限公司,8
1817,1817.TW,凱撒衛浴股份有限公司,8
1903,1903.TW,士林紙業股份有限公司,9
1904,1904.TW,正隆股份有限公司,9
1905,1905.TW,中華紙漿股份有限公司,9
1906,1906.TW,寶隆國際股份有限公司,9
1907,1907.TW,永豐餘投資控股股份有限公司,9
1909,1909.TW,榮成紙業股份有限公司,9
2002,2002.TW,中國鋼鐵股份有限公司,10
2006,2006.TW,東和鋼鐵企業股份有限公司,10
2007,2007.TW,燁興企業股份有限公司,10
2008,2008.TW,高興昌鋼鐵股份有限公司,10
2009,2009.TW,第一伸銅科技股份有限公司,10
2010,2010.TW,春源鋼鐵工業股份有限公司,10
2012,2012.TW,春雨工廠股份有限公司,10
2013,2013.TW,中國鋼鐵結構股份有限公司,10
2014,2014.TW,中鴻鋼鐵股份有限公司,10
2015,2015.TW,豐興鋼鐵股份有限公司,10
2017,2017.TW,官田鋼鐵股份有限公司,10
2020,2020.TW,美亞鋼管廠股份有限公司,10
2022,2022.TW,聚亨企業股份有限公司,10
2023,2023.TW,燁輝企業股份有限公司,10
2024,2024.TW,志聯工業股份有限公司,10
